Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/coPapersCiteseer,434102,3493,     6.754,     6.761,     6.759,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,    15.678,    15.685,    15.682,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/cage15,5154859,41482,    18.245,    18.266,    18.255,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt240,27993600,225271,    65.845,    65.854,    65.849,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/G3,1585478,12697,     0.923,     0.925,     0.924,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     2.733,     2.742,     2.739,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.537,     0.543,     0.540,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/asia,11950757,95360,     6.663,     6.665,     6.664,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     3.674,     3.676,     3.674,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/uk-2002,18520486,149039,    67.786,    67.817,    67.801,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersDBLP,540486,4349,     7.038,     7.047,     7.042,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     6.774,     6.780,     6.778,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,    15.732,    15.739,    15.735,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/cage15,5154859,41482,    17.956,    17.977,    17.967,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt240,27993600,225271,    69.013,    69.026,    69.020,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/G3,1585478,12697,     0.933,     0.935,     0.934,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     2.746,     2.754,     2.752,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.578,     0.580,     0.579,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/asia,11950757,95360,     6.652,     6.656,     6.654,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     4.244,     4.246,     4.245,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/uk-2002,18520486,149039,    66.921,    66.951,    66.935,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersDBLP,540486,4349,     6.962,     6.970,     6.966,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/coPapersCiteseer,434102,3493,     6.765,     6.772,     6.770,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/cage15,5154859,41482,    17.757,    17.778,    17.768,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/nlpkkt160,8345600,67159,    15.621,    15.630,    15.626,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/nlpkkt240,27993600,225271,    48.849,    48.858,    48.853,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
