Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/kkt,2063494,16605,     1.131,     1.139,     1.136,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,     9.488,     9.511,     9.500,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/G3,1585478,12697,     0.440,     0.442,     0.441,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/ecology1,1000000,7850,     0.254,     0.257,     0.256,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/nlpkkt240,27993600,225271,    35.393,    35.404,    35.400,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/asia,11950757,95360,     4.395,     4.397,     4.396,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     2.394,     2.400,     2.397,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     2.653,     2.663,     2.657,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/uk-2002,18520486,149039,    56.352,    56.378,    56.364,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersCiteseer,434102,3493,     4.876,     4.882,     4.879,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/G3,1585478,12697,     0.425,     0.427,     0.426,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.031,     1.040,     1.037,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,     9.543,     9.563,     9.553,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/ecology1,1000000,7850,     0.259,     0.261,     0.260,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/nlpkkt240,27993600,225271,    52.245,    52.256,    52.250,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/asia,11950757,95360,     4.369,     4.372,     4.371,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     2.406,     2.408,     2.407,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     2.638,     2.650,     2.643,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
