Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,AvgCommunication,AvgInterProcessCall,SizeOfData,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
input/coPapersDBLP,540486,4349,     5.064,     5.073,     5.068,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/uk-2002,18520486,149039,    15.073,    15.101,    15.087,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersCiteseer,434102,3493,     3.133,     3.140,     3.137,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,     4.663,     4.671,     4.667,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/G3,1585478,12697,     0.336,     0.339,     0.338,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/kkt,2063494,16605,     1.659,     1.666,     1.664,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/cage15,5154859,41482,     9.496,     9.517,     9.507,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/ecology1,1000000,7850,     0.209,     0.211,     0.210,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/nlpkkt240,27993600,225271,    12.965,    12.975,    12.970,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/asia,11950757,95360,     0.498,     0.501,     0.499,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     0.727,     0.730,     0.729,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     5.081,     5.091,     5.086,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
input/uk-2002,18520486,149039,    14.974,    15.001,    14.986,100,128,    66.000,9545229,   273.852,   124.031,8,9520000,25229,18519040,148946
input/coPapersCiteseer,434102,3493,     3.146,     3.151,     3.149,100,128,   260.000,908341,    36.453,   122.328,8,262434,28816,433661,3490
input/nlpkkt160,8345600,67159,     6.231,     6.242,     6.238,100,128,    27.000,1813293,  1503.312,    10.469,8,1589682,73572,7500388,3758
input/G3,1585478,12697,     0.352,     0.355,     0.354,100,128,     3.000,49345,   124.484,     5.094,8,47322,616,1237803,10539
input/nlpkkt240,27993600,225271,    11.570,    11.580,    11.575,100,128,    27.000,6082317,  3256.828,    10.750,8,5714858,222010,24435823,7922
input/cage15,5154859,41482,     9.482,     9.502,     9.492,100,128,    34.000,1435555,  1357.195,    37.312,8,602278,67195,5110871,41066
input/kkt,2063494,16605,     1.609,     1.618,     1.615,100,128,     6.000,114851,   196.688,    18.516,8,93508,6820,1950323,12959
input/ecology1,1000000,7850,     0.306,     0.309,     0.308,100,128,     4.000,31400,    70.234,     5.312,8,30846,414,734402,281
input/asia,11950757,95360,     0.489,     0.491,     0.491,100,128,     2.000,240251,     4.141,     4.156,8,189120,12,11014530,93705
input/NLR,4163763,33402,     0.717,     0.719,     0.718,100,128,     6.000,200418,   127.773,     5.406,8,193582,1488,3383592,33394
input/coPapersDBLP,540486,4349,     4.976,     4.986,     4.981,100,128,   128.000,543489,    85.578,   126.875,8,188288,28750,540472,4346
