Name,MatrixSize,MaxRow,MinTime,MaxTime,AvgTime,TotalRun,nProcess,NonZeroPerRow,NonZeroPerBlock,DiagonalElem,OffDiagonalElem,Bandwidth,InDiagonalBandwidth
coPapersCiteseer_64,434102,6986,0.234539,1.805504,0.617796,100,64,161.000000,1124472,396400,78438,433938,6978
copter2_64,55476,892,0.009411,0.191341,0.017155,100,64,13.000000,12007,10436,1237,53687,892
333SP_64,3712815,58528,0.393606,2.047408,0.882891,100,64,6.000000,351071,347950,1894,1741389,58431
AS365_64,3799275,60332,0.599885,2.462318,1.125179,100,64,6.000000,361941,351794,2115,1782093,60314
europe_64,50912018,799636,5.228848,12.196318,8.204404,100,64,2.000000,1775814,1721134,195,33398502,798061
M6_64,3501776,55524,0.426330,2.603859,1.021191,100,64,6.000000,332268,325784,2141,2079198,55360
nlpkkt200_64,16240000,260214,7.550375,15.040493,10.091958,100,64,27.000000,7002774,6579616,231362,15129449,8048
thermal2_64,1227087,19669,0.164606,1.735887,0.259211,100,64,6.000000,117783,112814,862,996415,19600
nlpkkt160_81,8345600,106128,3.007524,6.332425,4.069138,100,81,27.000000,2865456,2614398,76894,8135536,4920
nlpkkt240_81,27993600,353263,10.243261,31.974811,15.264140,100,81,27.000000,9516312,9003508,318296,20696224,11068
cage15_81,5154859,65552,1.078080,3.730594,1.881438,100,81,32.000000,2119863,1128410,150699,5154483,64757
G3_circuit_81,1585478,20017,0.089081,0.565605,0.122808,100,81,3.000000,77679,73456,292,703445,16205
kkt_power_81,2063494,26240,0.182317,2.161495,0.281010,100,81,6.000000,176749,153446,8100,2023335,20747
ecology1_81,1000000,12380,0.057876,0.583271,0.090530,100,81,4.000000,49520,48810,359,814806,357
uk,18520486,235518,3.491160,30.164399,12.013607,100,81,57.000000,13178105,7063820,55289,18519957,235336
asia_81,11950757,149800,0.538867,2.698052,1.088429,100,81,2.000000,363211,347244,15,9440509,149765
NLR_81,4163763,52214,0.406530,2.248378,0.978364,100,81,6.000000,313272,309302,1634,3391971,52073
coPapersDBLP_81,540486,6873,0.231336,1.377445,0.464878,100,81,121.000000,833970,250116,40322,539752,6866
coPapersCiteseer_81,434102,5520,0.214084,1.399384,0.475357,100,81,189.000000,1047437,273102,25441,433929,5511
copter2_81,55476,705,0.007403,0.013846,0.010789,100,81,13.000000,9643,7910,1284,43753,705
333SP_81,3712815,47212,0.327273,1.924434,0.652028,100,81,6.000000,283207,274142,1684,2336841,47109
AS365_81,3799275,47642,0.485031,1.925847,0.822462,100,81,6.000000,285811,278298,1685,2203531,47632
europe_81,50912018,633838,3.950424,11.088606,6.323639,100,81,2.000000,1403357,1335118,106,43364861,630680
M6_81,3501776,43941,0.330044,1.711549,0.702486,100,81,6.000000,263645,256372,1305,2983410,43866
nlpkkt200_81,16240000,206518,5.992310,12.902398,8.011117,100,81,27.000000,5575986,5115424,198662,15038259,7593
thermal2_81,1227087,15597,0.134048,0.918401,0.216109,100,81,6.000000,93466,90702,962,665746,15568
333SP_100,3712815,37623,0.248977,1.346111,0.528806,100,100,6.000000,225688,220800,874,2266043,37515
nlpkkt160_100,8345600,85963,2.309805,5.677908,3.202518,100,100,27.000000,2317950,2155754,122938,7012531,4536
nlpkkt240_100,27993600,288348,8.162383,15.055483,11.365575,100,100,27.000000,7785396,7165246,196862,25474816,10587
cage15_100,5154859,53097,0.755625,4.082652,1.464215,100,100,33.000000,1795572,620530,33496,5144773,52446
G3_circuit_100,1585478,16124,0.072607,0.476329,0.090143,100,100,3.000000,62508,59676,857,965501,13387
kkt_power_100,2063494,21255,0.148168,1.210446,0.208573,100,100,6.000000,144788,121026,8320,1672440,16499
af_shell10_100,1508065,15530,0.446821,1.972827,0.658728,100,100,34.000000,528020,489820,9550,1448665,1005
ecology1_100,1000000,10056,0.046942,0.438654,0.057939,100,100,4.000000,40224,39560,440,659929,325
uk,18520486,190770,3.823862,24.940296,9.302022,100,100,56.000000,10548064,2766682,3773,18518077,190642
asia_100,11950757,122024,0.353490,3.269565,0.925331,100,100,2.000000,301180,243734,11,7830698,120234
NLR_100,4163763,42678,0.294076,2.037127,0.806642,100,100,6.000000,256064,248810,982,2872616,42563
coPapersDBLP_100,540486,5567,0.181106,2.128680,0.367959,100,100,130.000000,727138,197120,25072,539943,5561
coPapersCiteseer_100,434102,4471,0.163993,1.296356,0.379185,100,100,217.000000,972103,202888,18835,434078,4471
copter2_100,55476,571,0.005694,0.012616,0.008725,100,100,13.000000,7836,5402,830,45526,571
AS365_100,3799275,38840,0.357407,2.124697,0.693767,100,100,6.000000,233010,229126,1493,1824372,38826
europe_100,50912018,515079,2.841054,8.154859,5.045477,100,100,2.000000,1144410,1102002,124,40728256,512294
M6_100,3501776,35904,0.280492,1.393645,0.577889,100,100,6.000000,215411,209834,1529,2836462,35859
nlpkkt200_100,16240000,167280,4.668610,9.216383,6.293239,100,100,27.000000,4511052,4272046,162746,15344090,6667
thermal2_100,1227087,12611,0.107408,3.130706,0.154311,100,100,6.000000,75659,73832,914,491963,12577
